Rank,Name,Analytical Quarterback Score,Turnover Worthy Throw %,Pressure Sack Rate,Pass TD/G,Hero Throw %,Adj. Comp %,Int/G,Comp. % Over Expected,Rush YPG,Drop %,Rush TD/G,Fum/G
1,Tom Brady,75.6,80.3,83.3,100.0,78.8,74.2,62.1,78.8,16.7,69.7,48.5,77.3
2,Kyler Murray,73.2,90.9,57.6,69.7,93.9,78.8,57.6,81.8,87.9,10.6,90.9,0.0
3,Aaron Rodgers,72.0,97.0,33.3,92.4,100.0,66.7,97.0,51.5,24.2,3.0,75.8,59.1
4,Patrick Mahomes,71.3,80.3,93.9,84.8,37.9,81.8,53.0,65.2,81.8,30.3,48.5,43.9
5,Kirk Cousins,70.7,87.9,90.9,75.8,59.1,60.6,84.8,65.2,33.3,24.2,31.8,59.1
6,Justin Herbert,69.2,93.9,87.9,87.9,45.5,54.5,22.7,45.5,69.7,60.6,69.7,89.4
7,Dak Prescott,68.0,66.7,69.7,92.4,63.6,74.2,71.2,86.4,45.5,48.5,31.8,3.0
8,Josh Allen,66.8,54.5,97.0,78.8,86.4,51.5,22.7,56.1,93.9,54.5,87.9,10.6
9,Derek Carr,61.8,80.3,54.5,57.6,75.8,86.4,34.8,86.4,27.3,40.9,10.6,24.2
10,Russell Wilson,60.6,80.3,42.4,72.7,86.4,12.1,87.9,48.5,60.6,19.7,59.1,54.5
11,Teddy Bridgewater,58.4,60.6,51.5,45.5,27.3,86.4,81.8,90.9,40.9,40.9,59.1,68.2
12,Joe Burrow,57.9,33.3,9.1,81.8,97.0,100.0,27.3,100.0,36.4,57.6,54.5,72.7
13,Jared Goff,54.8,72.7,30.3,60.6,9.1,97.0,78.8,74.2,21.2,83.3,10.6,30.3
14,Jalen Hurts,53.5,4.5,83.3,24.2,72.7,45.5,75.8,60.6,97.0,89.4,100.0,33.3
15,Carson Wentz,52.5,54.5,75.8,66.7,59.1,9.1,90.9,9.1,57.6,27.3,22.7,24.2
16,Matthew Stafford,52.1,21.2,48.5,97.0,86.4,63.6,10.6,69.7,6.1,66.7,10.6,77.3
17,Matt Ryan,49.4,63.6,60.6,27.3,42.4,69.7,62.1,56.1,16.7,34.8,22.7,10.6
18,Jacoby Brissett,45.2,69.7,63.6,3.0,18.2,25.8,93.9,18.2,30.3,78.8,42.4,89.4
19,Lamar Jackson,45.0,33.3,27.3,53.0,66.7,42.4,4.5,74.2,100.0,48.5,66.7,18.2
20,Ryan Tannehill,44.1,21.2,21.2,39.4,21.2,90.9,34.8,93.9,66.7,72.7,93.9,24.2
21,Mac Jones,43.6,47.0,45.5,48.5,54.5,33.3,53.0,39.4,40.9,6.1,10.6,43.9
22,Tua Tagovailoa,43.4,33.3,72.7,34.8,13.6,48.5,45.5,36.4,54.5,34.8,81.8,51.5
23,Daniel Jones,43.0,47.0,66.7,18.2,3.0,39.4,66.7,21.2,84.8,48.5,72.7,39.4
24,Jimmy Garoppolo,39.6,9.1,18.2,53.0,13.6,93.9,39.4,97.0,10.6,83.3,78.8,15.2
25,Ben Roethlisberger,38.6,40.9,6.1,63.6,50.0,25.8,71.2,6.1,3.0,75.8,31.8,89.4
26,Trevor Lawrence,38.1,27.3,78.8,12.1,37.9,18.2,10.6,24.2,77.3,93.9,48.5,63.6
27,Justin Fields,38.0,54.5,13.6,6.1,86.4,6.1,45.5,15.2,90.9,63.6,63.6,6.1
28,Davis Mills,37.8,21.2,24.2,34.8,69.7,57.6,45.5,42.4,10.6,10.6,10.6,89.4
29,Sam Darnold,31.8,15.2,36.4,15.2,30.3,36.4,4.5,27.3,72.7,97.0,97.0,48.5
30,Taylor Heinicke,29.4,0.0,39.4,42.4,33.3,30.3,15.2,30.3,77.3,15.2,31.8,36.4
31,Baker Mayfield,26.6,12.1,0.0,30.3,50.0,15.2,18.2,33.3,51.5,89.4,39.4,68.2
32,Andy Dalton,22.7,40.9,13.6,21.2,6.1,21.2,0.0,12.1,48.5,19.7,10.6,89.4
33,Zach Wilson,20.6,4.5,3.0,9.1,24.2,3.0,30.3,3.0,63.6,100.0,84.8,89.4
